Step,Agent_ID,X,Y,Theta
0,1,267.5601,477.9144,-2.1735
0,2,238.4179,336.5368,-1.5728
0,3,316.4060,224.5686,-1.0404
0,4,454.4172,164.1256,-0.1850
0,5,606.2269,267.0360,0.9898
0,6,658.4535,406.2741,1.5393
0,7,551.1719,558.1791,2.2545
0,8,410.1093,583.2709,2.9690
0,9,554.6765,412.6682,0.1537
0,10,522.0161,481.0798,2.4276
0,11,387.8404,503.3651,-2.6003
0,12,318.2542,473.9966,-2.2622
0,13,379.9475,440.2516,-2.4473
0,14,315.6767,301.2182,-1.4797
0,15,364.3872,363.4069,-2.0642
0,16,430.9244,250.7106,-0.3317
0,17,531.3859,278.4173,1.6849
1,1,267.0598,477.6328,-2.1452
1,2,238.1816,336.7656,-1.5541
1,3,316.2711,224.2618,-1.0134
1,4,454.5035,163.9996,-0.1596
1,5,606.2817,267.1136,1.0056
1,6,658.7853,405.6580,1.5511
1,7,551.4749,558.2199,2.2838
1,8,410.4194,583.1384,2.9960
1,9,554.7458,412.5452,0.1756
1,10,522.4602,481.6254,2.4627
1,11,387.6416,503.6902,-2.5742
1,12,318.3609,473.7881,-2.2698
1,13,380.2722,440.2383,-2.4408
1,14,315.7003,301.2574,-1.4763
1,15,365.1538,363.5385,-2.0424
1,16,431.3919,250.0920,-0.3026
1,17,531.5016,278.6026,1.6996
2,1,266.1716,477.2109,-2.0810
2,2,237.5335,337.3159,-1.5172
2,3,315.9356,223.6515,-0.9570
2,4,454.5897,163.5971,-0.1133
2,5,606.3409,267.1470,1.0267
2,6,659.2572,404.7765,1.5664
2,7,551.6880,557.8998,2.3545
2,8,411.2173,582.5899,3.0466
2,9,554.7147,412.6043,0.2279
2,10,522.6328,482.2451,2.5378
2,11,387.6269,504.1788,-2.5093
2,12,318.8326,473.5127,-2.2891
2,13,380.2035,440.5082,-2.4464
2,14,315.0926,301.3035,-1.4546
2,15,366.3517,363.9792,-1.9892
2,16,432.2122,249.3572,-0.2429
2,17,531.5320,278.7094,1.7130
3,1,265.3143,477.0978,-2.0171
3,2,237.0322,338.0895,-1.4499
3,3,315.7972,223.1964,-0.9117
3,4,454.5843,163.0603,-0.0339
3,5,606.4669,267.1240,1.0538
3,6,659.6501,403.9883,1.5790
3,7,551.9728,557.6415,2.4249
3,8,411.7408,581.7391,3.0955
3,9,554.6670,412.7049,0.2797
3,10,522.6183,482.8203,2.6105
3,11,387.8905,504.2667,-2.4485
3,12,319.2790,473.2690,-2.3164
3,13,380.5555,440.7542,-2.4248
3,14,313.9128,301.2430,-1.3869
3,15,367.4319,364.8602,-1.9204
3,16,432.8756,248.5040,-0.1903
