t0,t1,t2,t3,t4,t5
1.287801925369184419e-01,1.736312426169306922e-01,1.844831952804888986e-01,1.368289545704760024e-01,8.906250871031160532e-01,1.446455345860925412e+01
1.266945519044664625e-01,1.741093507911085914e-01,1.849911852155529668e-01,1.346129613984956008e-01,8.912830535775699836e-01,1.473080468503946960e+01
1.233716073614744418e-01,1.737826205852986139e-01,1.846440343718798727e-01,1.310823328215665051e-01,8.938000654230653375e-01,1.495272312695277073e+01
1.193294771772094032e-01,1.696558192331608095e-01,1.802593079352334260e-01,1.267875695007847636e-01,8.966616287307157540e-01,1.516255225308312937e+01
1.135585167537903895e-01,1.667448946114024055e-01,1.771664505246150212e-01,1.206559240509020858e-01,8.983685432664226811e-01,1.540110255503687853e+01
1.009115328189431060e-01,1.623340057967882222e-01,1.724798811590875502e-01,1.072185036201272063e-01,9.003934088007435887e-01,1.569495166388588281e+01
9.394272067283557237e-02,1.637695130604616134e-01,1.740051076267405405e-01,9.981414071488770023e-02,9.004509549076209485e-01,1.593017099264496217e+01
8.450174290605058647e-02,1.642108223943910816e-01,1.744739987940405190e-01,8.978310183767887476e-02,8.986345805614612825e-01,1.615807444511004221e+01
7.366519636879831356e-02,1.643357663618393305e-01,1.746067517594542262e-01,7.826927114184793755e-02,8.992921545891181534e-01,1.627296202721491269e+01
6.779075612148212360e-02,1.611561950286572731e-01,1.712284572179483544e-01,7.202767837907435300e-02,8.986041596174700885e-01,1.642927643350660460e+01
7.404503039322697655e-02,1.619737879429554439e-01,1.720971496893901886e-01,7.867284479280346743e-02,8.978139149208986813e-01,1.660153933219450550e+01
8.921782383207224609e-02,1.642393484932338221e-01,1.745043077740610904e-01,9.479393782157669035e-02,8.978769886551301038e-01,1.687046403832226105e+01
1.089119576366705117e-01,1.633393906316267241e-01,1.735481025461033666e-01,1.157189549889624386e-01,8.977098909080873934e-01,1.719732160433520818e+01
1.167540342310162405e-01,1.596592947233684001e-01,1.696380006435789789e-01,1.240511613704545074e-01,8.979215837229506114e-01,1.754785717213565377e+01
1.209153868468337278e-01,1.593609502631274655e-01,1.693210096545729737e-01,1.284725985247609226e-01,8.975032227480561620e-01,1.782178318465470568e+01
1.238720955573879429e-01,1.604429123156659864e-01,1.704705943353951036e-01,1.316141015297244421e-01,8.955693156626551854e-01,1.797693284189456620e+01
1.241978273237873825e-01,1.610908977805820819e-01,1.711590788918684602e-01,1.319601915315238294e-01,8.929559941187810157e-01,1.811033198562682855e+01
1.108804952861194432e-01,1.582760971035211683e-01,1.681683531724912639e-01,1.178105262415015259e-01,8.904735648276509430e-01,1.826334892180525316e+01
9.944724220800874037e-02,1.565354472658678497e-01,1.663189127199846129e-01,1.056626948460088339e-01,8.907628623751789876e-01,1.847280057656158547e+01
8.811352261635993499e-02,1.541053107302064740e-01,1.637368926508443456e-01,9.362061777988270328e-02,8.900354330976015804e-01,1.863870908324292941e+01
8.119773277594224958e-02,1.518635947734786606e-01,1.613550694468209867e-01,8.627259107443852049e-02,8.884593023071633011e-01,1.878545905903474988e+01
8.295235383076199343e-02,1.556061528975740682e-01,1.653315374536725446e-01,8.813687594518469781e-02,8.882452597743445422e-01,1.891607668805349718e+01
8.613743290821475329e-02,1.618611456731095799e-01,1.719774672776789859e-01,9.152102246497813287e-02,8.887022931326936659e-01,1.904771964844070098e+01
8.759180474270647498e-02,1.695179671790429110e-01,1.801128401277331814e-01,9.306629253912601651e-02,8.890156364568306824e-01,1.923583077875616709e+01
8.051960081794524993e-02,1.693814991753138377e-01,1.799678428737708780e-01,8.555207586906668493e-02,8.902822529805034524e-01,1.944824041822563743e+01
7.885697397908805750e-02,1.659323430155126566e-01,1.763031144539822792e-01,8.378553485278115998e-02,8.915431561016304851e-01,1.962233196440945449e+01
7.566705590689686012e-02,1.657389881757724281e-01,1.760976749367583194e-01,8.039624690107818883e-02,8.924592471441930019e-01,1.972945133268638074e+01
7.756264614181643258e-02,1.656483681950533249e-01,1.760013912072441733e-01,8.241031152567994400e-02,8.927600419754279093e-01,1.983844580766588095e+01
7.666099187346607502e-02,1.653036946006070096e-01,1.756351755131449754e-01,8.145230386555753210e-02,8.927486438375160649e-01,1.998030442342338020e+01
7.646537864868012402e-02,1.668206365525080059e-01,1.772469263370397008e-01,8.124446481422262223e-02,8.917668938509332177e-01,2.013679455938473239e+01
7.271039591440919825e-02,1.681276716087052314e-01,1.786356510842492806e-01,7.725479565905996049e-02,8.899058553787041470e-01,2.032037932806442626e+01
7.354692077878122181e-02,1.679921425731460694e-01,1.784916514839677282e-01,7.814360332745490245e-02,8.878794325998823345e-01,2.051510539163490421e+01
8.054521786044784026e-02,1.680185370201084383e-01,1.785196955838652122e-01,8.557929397672574268e-02,8.879815807056997690e-01,2.068770899725740975e+01
8.600615539015912803e-02,1.692028620551813967e-01,1.797780409336302565e-01,9.138154010204405098e-02,8.893769012166700128e-01,2.084769449894235649e+01
8.773554718477047376e-02,1.718939837217172972e-01,1.826373577043247376e-01,9.321901888381863011e-02,8.900591608484302864e-01,2.096002645352720251e+01
9.690252418227106312e-02,1.734927721343133833e-01,1.843360703927079680e-01,1.029589319436628875e-01,8.875959949428139373e-01,2.110680840855466656e+01
1.007438919831560864e-01,1.745372702520549268e-01,1.854458496428084968e-01,1.070403852321033661e-01,8.830290737212687091e-01,2.125244474105719306e+01
9.372476123854846242e-02,1.748752513819040455e-01,1.858049545932730084e-01,9.958255881595784453e-02,8.798500296488023231e-01,2.140484699162171367e+01
8.970398351421937644e-02,1.718818181613708806e-01,1.826244317964566544e-01,9.531048248385792787e-02,8.797870446787118270e-01,2.158668486642938689e+01
8.020205800283185249e-02,1.669287638832711307e-01,1.773618116259756128e-01,8.521468662800890659e-02,8.815795498209465508e-01,2.172535368246314036e+01
6.920047429773527881e-02,1.624096877337242451e-01,1.725602932170820780e-01,7.352550394134373113e-02,8.832708738486918509e-01,2.186467585669351976e+01
6.264030565062767009e-02,1.640606798338969663e-01,1.743144723235154070e-01,6.655532475379179191e-02,8.852447967899503833e-01,2.207413741276222297e+01
5.633774031059823190e-02,1.673578092601956946e-01,1.778176723389579550e-01,5.985884908001048305e-02,8.852560014541404065e-01,2.229646355856860751e+01
5.202633706349994031e-02,1.707075203649585371e-01,1.813767403877684647e-01,5.527798312996848318e-02,8.850965885189905347e-01,2.255143518676365133e+01
4.409437242922423228e-02,1.688103557433068558e-01,1.793610029772635950e-01,4.685027070605073118e-02,8.847944142522019551e-01,2.280777401223977208e+01
3.626738472812054276e-02,1.650255150381182701e-01,1.753396097280008337e-01,3.853409627362826967e-02,8.845248057184557089e-01,2.299191613834407022e+01
3.771262427061431582e-02,1.647938178799926712e-01,1.750934314974923189e-01,4.006966328752756962e-02,8.857523938405025277e-01,2.313313533058433435e+01
4.749579670237768364e-02,1.664890094145189403e-01,1.768945725029262839e-01,5.046428399627635869e-02,8.875299966953513753e-01,2.324864448462030708e+01
5.554379818522715839e-02,1.683429909531700686e-01,1.788644278877431770e-01,5.901528557180386880e-02,8.873008880723092240e-01,2.334891680683045934e+01
5.949827765463563956e-02,1.687387600756960759e-01,1.792849325804271865e-01,6.321692000805025080e-02,8.859996301914890848e-01,2.350279625283781115e+01
