Step,Agent_ID,X,Y,Theta
0,1,263.0731,474.4226,-2.5320
0,2,247.5900,329.2346,-1.8636
0,3,316.8567,224.2390,-1.5065
0,4,461.6618,171.6362,-0.4859
0,5,604.4706,268.3727,0.6471
0,6,653.1241,411.4946,1.2137
0,7,543.1768,557.1765,1.9252
0,8,400.2026,578.9967,2.5518
0,9,550.6577,411.8301,-0.1605
0,10,526.4750,476.8712,2.0500
0,11,398.5374,499.6965,-3.0047
0,12,309.2543,456.6617,-2.5359
0,13,388.0460,433.2466,-2.9647
0,14,320.7036,321.6421,-1.8782
0,15,385.7016,366.9505,-2.8101
0,16,421.5544,264.4409,-0.9097
0,17,527.5734,280.9338,1.2726
1,1,263.2098,473.8516,-2.5543
1,2,248.1332,328.6421,-1.8834
1,3,316.9425,223.8389,-1.5386
1,4,462.0219,172.1103,-0.5029
1,5,604.3955,268.4799,0.6280
1,6,652.9706,411.5256,1.1908
1,7,543.2272,557.5555,1.8828
1,8,399.8092,578.6531,2.5299
1,9,550.5204,411.6489,-0.1849
1,10,526.6400,477.3369,2.0312
1,11,398.5253,499.5212,-3.0352
1,12,308.9583,455.2685,-2.5526
1,13,388.6167,433.1789,-2.9980
1,14,321.0232,322.0782,-1.9190
1,15,387.0892,366.7270,-2.8365
1,16,421.4849,264.1952,-0.9487
1,17,527.6450,281.1678,1.2642
2,1,263.2500,473.1133,-2.5724
2,2,248.8353,327.8381,-1.9098
2,3,317.6785,223.6045,-1.5996
2,4,462.3205,172.6045,-0.5322
2,5,604.2873,268.6338,0.6043
2,6,652.7773,411.5617,1.1633
2,7,543.2837,557.9945,1.8330
2,8,399.4646,578.2652,2.4948
2,9,550.4650,411.4532,-0.2133
2,10,526.7831,477.9588,1.9939
2,11,398.4057,499.4012,-3.0732
2,12,308.6356,453.6708,-2.5709
2,13,389.0808,432.7624,-3.0354
2,14,321.1184,322.6665,-1.9600
2,15,389.0073,366.3993,-2.8821
2,16,421.4128,263.9692,-0.9889
2,17,527.7102,281.3931,1.2567
3,1,263.2965,472.3877,-2.5924
3,2,249.3727,327.1921,-1.9306
3,3,318.6952,223.0873,-1.6360
3,4,462.4872,172.8914,-0.5511
3,5,604.2016,268.7535,0.5875
3,6,652.6045,411.5905,1.1406
3,7,543.3218,558.3101,1.7954
3,8,399.2611,577.9896,2.4655
3,9,550.4462,411.3266,-0.2305
3,10,526.8583,478.3582,1.9673
3,11,398.2049,499.3645,-3.1047
3,12,308.2999,451.9988,-2.5916
3,13,389.3641,432.4763,-3.0625
3,14,321.5604,323.4044,-2.0063
3,15,390.5185,366.1542,-2.9142
3,16,421.3565,263.7984,-1.0190
3,17,527.7609,281.5649,1.2537
4,1,263.4319,471.7180,-2.6108
