time,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17
1.000000,2.041906,2.018103,2.008646,2.005799,2.001833,2.003609,2.009431,2.013140,0.104777,0.381387,0.616152,1.814076,0.071108,1.134767,0.049477,0.260977,0.436295
1.016667,2.041974,2.018232,2.008473,2.005895,2.001724,2.003565,2.009688,2.013127,0.103235,0.393892,0.610060,1.805228,0.070609,1.112186,0.049011,0.266402,0.432027
1.033333,2.041875,2.018572,2.008280,2.005999,2.001552,2.003544,2.010008,2.013144,0.102093,0.409804,0.607313,1.794622,0.069937,1.096374,0.048486,0.271757,0.427919
1.050000,2.041722,2.018586,2.007939,2.006076,2.001415,2.003533,2.010205,2.013170,0.101487,0.420002,0.608752,1.783640,0.069506,1.062600,0.048290,0.275968,0.424829
1.066667,2.041643,2.018564,2.007648,2.006147,2.001290,2.003536,2.010318,2.013172,0.101303,0.425475,0.609382,1.773131,0.069221,1.029860,0.048089,0.279897,0.421991
1.083333,2.041370,2.018611,2.007527,2.006211,2.001164,2.003555,2.010386,2.013147,0.101463,0.428103,0.608915,1.759364,0.069123,1.011664,0.047927,0.283612,0.419325
1.100000,2.040907,2.018740,2.007496,2.006272,2.001059,2.003578,2.010425,2.013106,0.101768,0.429225,0.607161,1.745624,0.069125,1.003017,0.047720,0.287101,0.416844
1.116667,2.040707,2.018913,2.007517,2.006326,2.000960,2.003580,2.010502,2.013076,0.101434,0.433047,0.606116,1.739991,0.069064,0.997727,0.047469,0.290340,0.414576
1.133333,2.040697,2.019086,2.007557,2.006375,2.000864,2.003591,2.010571,2.013065,0.101254,0.436121,0.607641,1.738806,0.068920,0.995038,0.047194,0.293312,0.412527
1.150000,2.040782,2.019228,2.007606,2.006418,2.000785,2.003599,2.010614,2.013081,0.101197,0.438030,0.612088,1.739683,0.068715,0.992373,0.046963,0.295998,0.410695
1.166667,2.040850,2.019377,2.007656,2.006457,2.000710,2.003605,2.010637,2.013097,0.101222,0.439025,0.617067,1.739701,0.068529,0.991113,0.046746,0.298380,0.409095
1.183333,2.040859,2.019506,2.007703,2.006490,2.000612,2.003610,2.010648,2.013107,0.101287,0.439483,0.621770,1.738387,0.068382,0.990247,0.046579,0.300318,0.407552
1.200000,2.040874,2.019611,2.007741,2.006517,2.000528,2.003615,2.010652,2.013113,0.101374,0.439628,0.625829,1.736467,0.068272,0.989365,0.046459,0.301742,0.406432
1.216667,2.040885,2.019709,2.007770,2.006533,2.000457,2.003619,2.010656,2.013125,0.101467,0.439576,0.629055,1.735031,0.068190,0.989629,0.046342,0.302569,0.405813
1.233333,2.040881,2.019782,2.007795,2.006543,2.000404,2.003622,2.010659,2.013134,0.101563,0.439421,0.631252,1.734134,0.068134,0.990297,0.046246,0.303277,0.405607
1.250000,2.040863,2.019840,2.007813,2.006547,2.000372,2.003627,2.010660,2.013140,0.101658,0.439210,0.632500,1.733472,0.068104,0.991667,0.046163,0.303894,0.405632
1.266667,2.040844,2.019894,2.007826,2.006549,2.000357,2.003632,2.010664,2.013146,0.101752,0.438962,0.633179,1.733026,0.068085,0.993945,0.046082,0.304424,0.405781
1.283333,2.040839,2.019949,2.007838,2.006548,2.000356,2.003637,2.010673,2.013153,0.101845,0.438691,0.632866,1.733078,0.068068,0.997047,0.045994,0.304908,0.406002
1.300000,2.040850,2.020013,2.007846,2.006547,2.000361,2.003643,2.010679,2.013156,0.101938,0.438409,0.631490,1.733479,0.068049,1.001022,0.045892,0.305295,0.406215
1.316667,2.040877,2.020086,2.007850,2.006546,2.000365,2.003649,2.010683,2.013149,0.102032,0.438117,0.628710,1.734175,0.068035,1.005855,0.045775,0.305497,0.406332
1.333333,2.040951,2.020152,2.007830,2.006545,2.000367,2.003656,2.010686,2.013100,0.102128,0.437822,0.620847,1.735734,0.068054,1.009828,0.045663,0.305588,0.406399
1.350000,2.041002,2.020149,2.007738,2.006544,2.000368,2.003663,2.010689,2.013037,0.102226,0.437519,0.611193,1.736929,0.068111,1.007709,0.045638,0.305591,0.406437
1.366667,2.040976,2.020131,2.007632,2.006541,2.000370,2.003671,2.010705,2.012954,0.102318,0.438623,0.599166,1.736780,0.068244,1.004295,0.045650,0.305558,0.406461
1.383333,2.040955,2.020090,2.007511,2.006538,2.000370,2.003677,2.010762,2.012855,0.102368,0.444371,0.585361,1.736707,0.068453,0.999184,0.045730,0.305502,0.406477
1.400000,2.040924,2.020025,2.007379,2.006535,2.000371,2.003683,2.010823,2.012744,0.102396,0.450791,0.570243,1.736538,0.068566,0.992267,0.045882,0.305434,0.406489
1.416667,2.040896,2.019921,2.007236,2.006524,2.000370,2.003687,2.010864,2.012603,0.102408,0.454687,0.552740,1.736393,0.068700,0.979640,0.046100,0.305381,0.406499
1.433333,2.040857,2.020045,2.007270,2.006508,2.000368,2.003691,2.010893,2.012352,0.102414,0.456847,0.525528,1.736065,0.068848,0.987132,0.045920,0.305369,0.406507
1.450000,2.040814,2.020212,2.007355,2.006493,2.000366,2.003693,2.010915,2.012060,0.102418,0.458056,0.496737,1.735680,0.068950,0.999173,0.045699,0.305362,0.406512
1.466667,2.040562,2.020170,2.007394,2.006475,2.000364,2.003695,2.010935,2.011716,0.102420,0.458758,0.466019,1.733207,0.069080,1.000421,0.045723,0.305335,0.406517
1.483333,2.040259,2.020039,2.007450,2.006499,2.000358,2.003714,2.010900,2.011271,0.102778,0.470198,0.439548,1.730257,0.069474,0.998824,0.045876,0.308246,0.406509
1.500000,2.040233,2.019993,2.007513,2.006539,2.000352,2.003742,2.010833,2.010750,0.103232,0.484282,0.411752,1.730023,0.069917,1.001623,0.045968,0.312478,0.406496
1.516667,2.041010,2.020039,2.007522,2.006647,2.000347,2.003798,2.010811,2.010304,0.103866,0.495452,0.387699,1.741071,0.070328,1.011597,0.045555,0.321610,0.406478
1.533333,2.040146,2.020098,2.007479,2.006924,2.000348,2.003866,2.010827,2.010051,0.104492,0.503149,0.374427,1.744707,0.070489,1.039376,0.044762,0.331849,0.406631
1.550000,2.039035,2.020310,2.007070,2.007411,2.000265,2.003937,2.010856,2.009906,0.104913,0.508488,0.365497,1.735436,0.070455,1.077104,0.044146,0.345055,0.407046
1.566667,2.038119,2.020423,2.006354,2.007989,1.999998,2.003885,2.011037,2.009760,0.102822,0.519267,0.358726,1.728293,0.070590,1.111468,0.043681,0.362145,0.407647
1.583333,2.037803,2.020621,2.005553,2.008604,1.999747,2.003686,2.011356,2.009668,0.098718,0.538490,0.356790,1.728757,0.070724,1.145561,0.043263,0.380943,0.408254
1.600000,2.038156,2.020748,2.004772,2.009226,1.999496,2.003426,2.011461,2.009650,0.094058,0.553186,0.358306,1.732824,0.070900,1.174946,0.042874,0.398027,0.408849
1.616667,2.039062,2.020279,2.004318,2.009724,1.999460,2.003127,2.011366,2.009632,0.089003,0.563004,0.358435,1.737852,0.071335,1.169145,0.042709,0.420591,0.411434
1.633333,2.039657,2.019643,2.004171,2.010112,1.999551,2.002786,2.011212,2.009602,0.083465,0.573963,0.357564,1.737890,0.071924,1.156505,0.042566,0.447590,0.415259
1.650000,2.039367,2.019169,2.004107,2.010401,1.999619,2.002453,2.011020,2.009559,0.077947,0.587150,0.353830,1.733060,0.072399,1.158845,0.042276,0.471199,0.418686
1.666667,2.039141,2.018786,2.004107,2.010662,1.999717,2.002119,2.010793,2.009591,0.072744,0.603573,0.355061,1.728408,0.072564,1.173121,0.042001,0.493025,0.429705
1.683333,2.039431,2.018344,2.004306,2.010939,1.999891,2.001744,2.010581,2.009642,0.067478,0.624449,0.357286,1.727807,0.072676,1.194085,0.041610,0.514424,0.456109
1.700000,2.040303,2.017763,2.004559,2.011163,2.000023,2.001499,2.010551,2.009700,0.064204,0.649786,0.358823,1.731316,0.072298,1.207165,0.041021,0.535437,0.474979
1.716667,2.041862,2.017669,2.004740,2.011570,2.000164,2.001269,2.010630,2.009754,0.060122,0.676895,0.359966,1.739305,0.071988,1.248405,0.039923,0.562897,0.488650
1.733333,2.043960,2.017806,2.004873,2.011961,2.000329,2.001122,2.010582,2.009815,0.055867,0.705296,0.360778,1.749749,0.071730,1.282941,0.038608,0.590110,0.498804
1.750000,2.044251,2.017858,2.004969,2.012292,2.000487,2.001082,2.010417,2.009864,0.053077,0.731962,0.361939,1.745289,0.072229,1.302528,0.037904,0.614950,0.502032
1.766667,2.043833,2.017908,2.005016,2.012672,2.000950,2.001057,2.010085,2.009835,0.051896,0.759469,0.356042,1.738057,0.073443,1.314410,0.037743,0.639996,0.508574
1.783333,2.043045,2.018001,2.005118,2.013024,2.001474,2.001041,2.009646,2.009799,0.050712,0.790745,0.349055,1.728611,0.074995,1.322506,0.037866,0.665985,0.516138
1.800000,2.042295,2.018036,2.005235,2.013290,2.001848,2.001035,2.009078,2.009768,0.049488,0.819562,0.342818,1.719104,0.076534,1.325304,0.038101,0.689136,0.519292
1.816667,2.041547,2.018428,2.005328,2.013507,2.002121,2.001052,2.008503,2.009860,0.048774,0.842470,0.352251,1.713507,0.076861,1.329649,0.038355,0.711187,0.516269
1.833333,2.040877,2.018700,2.005419,2.013702,2.002244,2.001076,2.007983,2.009970,0.048239,0.885422,0.362225,1.713564,0.076969,1.327536,0.038805,0.731312,0.521850
