t0,t1,t2,t3,t4,t5
1.639746765981439647e-01,8.254922440155965102e-02,8.770855092665713615e-02,1.742230938855279521e-01,8.730930482726414477e-01,9.872517051609985828e+00
1.638521356834429232e-01,8.166298098143151551e-02,8.676691729277093146e-02,1.740928941636578353e-01,8.739282021378373955e-01,1.014319675620314243e+01
1.644650622120997774e-01,7.972276755733702369e-02,8.470544052967067528e-02,1.747441286003560135e-01,8.753653280306927797e-01,1.034287351345902728e+01
1.681050248644234968e-01,7.870696583950656522e-02,8.362615120447579320e-02,1.786115889184501093e-01,8.773149088217252478e-01,1.046228926349503929e+01
1.692803739978921418e-01,7.881355064322609350e-02,8.373939755842776944e-02,1.798603973727605498e-01,8.770368157345294069e-01,1.062315411035145907e+01
1.779946466192803833e-01,7.964768218545854872e-02,8.462566232204958572e-02,1.891193120329855426e-01,8.769211433374040077e-01,1.080508421441734690e+01
1.887343325463282095e-01,8.219918810596214820e-02,8.733663736258484578e-02,2.005302283304740418e-01,8.769658111214210239e-01,1.099343890932144419e+01
1.928409971726944283e-01,8.780083306717333114e-02,9.328838513387159581e-02,2.048935594959876982e-01,8.782621726044947952e-01,1.111079423004832023e+01
1.939356856693844056e-01,9.042718057211475424e-02,9.607887935787182143e-02,2.060566660237209413e-01,8.807948171664139458e-01,1.114282159560003471e+01
1.955079317710671782e-01,9.229106951055418562e-02,9.805926135496383089e-02,2.077271775067588699e-01,8.839891689570993361e-01,1.125452162949185109e+01
1.925624777043951352e-01,9.427949745849560637e-02,1.001719660496515341e-01,2.045976325609197288e-01,8.873596906420139208e-01,1.142007343421045285e+01
1.880140105178816634e-01,9.444555993055252230e-02,1.003484074262119968e-01,1.997648861752491511e-01,8.900165416454782763e-01,1.159541884147670565e+01
1.805762554494474148e-01,9.457393533457410240e-02,1.004848062929849101e-01,1.918622714150375885e-01,8.930898733267675915e-01,1.187136941298398973e+01
1.793948010398872528e-01,9.567209915923974295e-02,1.016516053566921263e-01,1.906069761048801436e-01,8.955883273390292665e-01,1.227696495203767491e+01
1.863931679791258345e-01,9.745040984229630388e-02,1.035410604574397292e-01,1.980427409778211523e-01,8.952542834568355534e-01,1.260702312400546532e+01
1.930757193663080462e-01,9.519178341480241667e-02,1.011412698782274827e-01,2.051429518267025298e-01,8.935368240000877149e-01,1.280771523742635587e+01
1.950163869447420761e-01,9.173542053602330715e-02,9.746888431952474563e-02,2.072049111287886103e-01,8.914060172965928563e-01,1.291192409930147811e+01
1.916929854437293412e-01,8.904461833808373361e-02,9.460990698421396783e-02,2.036737970339625448e-01,8.897928942733659419e-01,1.300150482771629434e+01
1.819743179598089233e-01,8.670240161487083319e-02,9.212130171580026894e-02,1.933477128322970140e-01,8.890558050150707547e-01,1.315309650504617167e+01
1.759813569364601926e-01,8.643909105352752531e-02,9.184153424437298263e-02,1.869801917449890882e-01,8.894550878941924754e-01,1.333314067059163222e+01
1.755899279190241968e-01,8.672585824102552188e-02,9.214622438108958924e-02,1.865642984139633254e-01,8.871291161368928258e-01,1.353037295077353974e+01
1.786655591656110265e-01,8.702924073653418857e-02,9.246856828256744265e-02,1.898321566134615335e-01,8.837457395415545536e-01,1.373966383471652186e+01
1.808815553564862288e-01,8.406439884661991158e-02,8.931842377453362569e-02,1.921866525662664915e-01,8.826075786531598633e-01,1.397177369596575147e+01
1.891222026193060401e-01,8.204258688574816993e-02,8.717024856610733341e-02,2.009423402830122773e-01,8.806214438947862488e-01,1.427089148206304792e+01
1.988189535400068930e-01,8.188035003240508314e-02,8.699787190943039650e-02,2.112451381362571712e-01,8.792685426634635482e-01,1.456193261594368238e+01
2.083998766005827896e-01,8.184518283055290666e-02,8.696050675746247460e-02,2.214248688881189087e-01,8.799047066623895130e-01,1.482340419903859541e+01
2.143553470426244889e-01,8.266041670238098715e-02,8.782669274627982747e-02,2.277525562327884501e-01,8.811133628510497973e-01,1.499582682084115426e+01
2.177210762918049269e-01,8.216491511395460079e-02,8.730022230857679977e-02,2.313286435600429569e-01,8.836917324060833412e-01,1.508876504642064553e+01
2.153778751681585391e-01,8.274255487216937432e-02,8.791396455168000446e-02,2.288389923661686698e-01,8.875728662003818936e-01,1.517788443509933849e+01
2.117728238211608605e-01,8.386231292443066532e-02,8.910370748220752812e-02,2.250086253099834732e-01,8.907444533470559866e-01,1.524117987829498055e+01
2.079444948427404127e-01,8.587105318828328060e-02,9.123799401255100472e-02,2.209410257704116642e-01,8.946286374489698101e-01,1.538817190079995889e+01
1.990495978668848920e-01,8.733057814779138228e-02,9.278873928202839572e-02,2.114901977335652272e-01,8.979202745878316350e-01,1.555932534800976441e+01
1.867831536760962974e-01,8.689387613483688655e-02,9.232474339326422752e-02,1.984571007808523524e-01,8.992893513278452655e-01,1.570584169503643857e+01
1.795450868657949006e-01,8.815404639393401021e-02,9.366367429355483554e-02,1.907666547949071201e-01,8.995624672590698534e-01,1.592655987488720903e+01
1.748388858725102579e-01,8.848230550450689180e-02,9.401244959853849448e-02,1.857663162395418455e-01,8.997821750626401327e-01,1.608344022127385742e+01
1.675706659831981971e-01,8.400405712007759373e-02,8.925431069008232798e-02,1.780438326071480393e-01,8.996634164787318255e-01,1.615426756282623444e+01
1.602788090202608151e-01,7.930339569174778280e-02,8.425985792248186224e-02,1.702962345840267899e-01,8.994446148689847487e-01,1.624670958373227236e+01
1.608745835690772452e-01,7.760943028577395320e-02,8.246001967863481052e-02,1.709292450421444065e-01,8.978495086624176391e-01,1.638541436963179976e+01
1.624804301427062447e-01,7.674610019837561914e-02,8.154273146077413437e-02,1.726354570266252775e-01,8.947518585281708514e-01,1.649845490027846751e+01
1.668403398630227685e-01,7.700432660631355286e-02,8.181709701920794608e-02,1.772678611044615493e-01,8.934853593734018995e-01,1.668007238168370066e+01
1.727054914453476919e-01,7.787289941661627857e-02,8.273995563015473786e-02,1.834995846606818082e-01,8.937353209514583563e-01,1.680383383530408281e+01
1.776733378188140033e-01,7.693321623398265141e-02,8.174154224860649687e-02,1.887779214324898647e-01,8.948051930938383247e-01,1.691736944259033493e+01
1.851120595821064974e-01,7.776562982934689949e-02,8.262598169368103040e-02,1.966815633059881829e-01,8.967071450858812298e-01,1.698964885718224593e+01
1.906014569167097106e-01,7.719857570319260676e-02,8.202348668464215509e-02,2.025140479740043797e-01,8.995817096258809098e-01,1.705522545197421991e+01
1.913377885746507245e-01,7.474074608003300479e-02,7.941204271003519943e-02,2.032964003605666758e-01,9.016587891437868318e-01,1.710018970733964494e+01
1.936208415203095334e-01,7.347980136686921293e-02,7.807228895229864629e-02,2.057221441153290198e-01,9.028168989021760904e-01,1.713652598483217204e+01
1.997726764053028570e-01,7.261555133300826026e-02,7.715402329132128867e-02,2.122584686806342491e-01,9.052592939277737116e-01,1.714070604242141371e+01
2.012799439244712940e-01,7.260236955178454854e-02,7.714001764877112532e-02,2.138599404197508158e-01,9.084995615057570584e-01,1.716439922740564228e+01
2.019608247391972700e-01,7.402552593261298164e-02,7.865212130340135110e-02,2.145833762853970594e-01,9.112513843368308386e-01,1.718667014128888226e+01
2.020846418155115287e-01,7.604736992824762121e-02,8.080033054876296916e-02,2.147149319289807512e-01,9.129872795030724575e-01,1.718825120341300661e+01
1.940535209154404528e-01,7.579040304152823149e-02,8.052730323162383963e-02,2.061818659726554759e-01,9.120762790584761026e-01,1.716333632888560956e+01
1.771088849686260347e-01,7.376476243019665369e-02,7.837506008208397490e-02,1.881781902791653527e-01,9.112974555413391187e-01,1.715328276072839486e+01
1.579158648684060862e-01,7.060446676923741449e-02,7.501724594231479193e-02,1.677856064226814770e-01,9.100465852881546303e-01,1.720264324119502675e+01
1.455254658782449140e-01,7.010150383721217016e-02,7.448284782703792906e-02,1.546208074956352818e-01,9.077072437752997658e-01,1.742380295250341504e+01
1.399717768062464784e-01,7.082878327828133480e-02,7.525558223317378725e-02,1.487200128566366353e-01,9.061055176239940501e-01,1.760194276503437294e+01
1.358039515997649660e-01,7.150655212127277061e-02,7.597571162885224938e-02,1.442916985747501324e-01,9.051890439604965977e-01,1.769774456558134546e+01
1.285683670248417565e-01,6.642417061771474507e-02,7.057568128132168939e-02,1.366038899638941373e-01,9.053114179064160050e-01,1.774364093948880594e+01
1.247791640115841899e-01,6.380921906712087865e-02,6.779729525881587893e-02,1.325778617623080691e-01,9.050192426771430654e-01,1.781674628650592851e+01
1.187568069639485940e-01,6.191463845798849536e-02,6.578430336161275593e-02,1.261791073991952450e-01,9.038321606821331233e-01,1.788093223436373691e+01
1.220847255833159006e-01,6.308490460158051871e-02,6.702771113917928292e-02,1.297150209322729675e-01,9.028322688666899909e-01,1.797272775793694422e+01
1.297375033726149152e-01,6.545057970556787674e-02,6.954124093716576582e-02,1.378460973334029727e-01,9.025867944128020959e-01,1.804994706677256389e+01
1.387560625881388843e-01,6.868527482323455446e-02,7.297810449968666902e-02,1.474283164998976825e-01,9.025105307283763922e-01,1.812847096610834186e+01
1.508673079485935986e-01,7.243204597983785020e-02,7.695904885357766900e-02,1.602965146953805042e-01,9.013859233010192984e-01,1.819681319906614547e+01
1.610134373305732447e-01,7.424461941284507538e-02,7.888490812614790126e-02,1.710767771637341228e-01,9.003501065623774613e-01,1.828978533605999957e+01
1.654467494611136791e-01,7.506361594101849943e-02,7.975509193733203162e-02,1.757871713024330429e-01,8.992181536125071206e-01,1.839021938355851304e+01
1.633640948502647905e-01,7.363325288144861869e-02,7.823533118653909491e-02,1.735743507784062445e-01,8.987495130413092337e-01,1.845881632220656243e+01
1.624948704849747405e-01,7.243543977530973732e-02,7.696265476126658289e-02,1.726507998902856444e-01,9.003231738301726850e-01,1.854702155145337983e+01
1.595359490505867395e-01,7.267184295092157797e-02,7.721383313535415405e-02,1.695069458662485096e-01,9.024630169741035823e-01,1.864157075068191816e+01
