Step,Agent_ID,X,Y,Theta
0,1,376.4796,582.5786,-3.0159
0,2,254.0347,413.8549,-1.7555
0,3,270.5133,276.0517,-1.1627
0,4,403.8507,178.8297,-0.3295
0,5,581.4600,211.5207,0.3691
0,6,640.3282,357.5838,1.3401
0,7,631.9541,496.3502,1.9358
0,8,512.7095,555.8544,2.6505
0,9,529.1755,288.4031,-0.0895
0,10,520.5605,336.7921,0.0293
0,11,373.8680,357.2481,-2.0868
0,12,514.1893,418.0128,-3.0427
0,13,528.8914,481.6725,2.6145
0,14,396.2580,496.1411,2.2660
0,15,337.6134,437.2977,-1.8141
0,16,316.1879,287.8840,-1.3501
0,17,450.9400,250.5616,-0.0881
1,1,376.1679,582.6353,-3.0057
1,2,254.5707,414.2255,-1.7280
1,3,270.2137,275.8409,-1.1471
1,4,403.9864,178.6867,-0.2876
1,5,581.5464,211.5067,0.4071
1,6,640.4849,357.3346,1.3744
1,7,632.0001,496.5329,1.9566
1,8,512.8203,555.5561,2.6821
1,9,528.9721,288.5582,-0.0846
1,10,520.2034,336.8560,0.0660
1,11,374.6385,356.9519,-2.0548
1,12,514.2040,417.4842,-3.0302
1,13,528.8912,481.6788,2.6297
1,14,396.4961,496.7040,2.2938
1,15,337.2153,436.8577,-1.7902
1,16,316.0980,288.2443,-1.3455
1,17,450.9252,250.3853,-0.0891
2,1,375.9011,583.0366,-2.9937
2,2,255.0100,414.6122,-1.6816
2,3,269.7338,275.5834,-1.1026
2,4,404.2516,178.4145,-0.2197
2,5,581.6683,211.2328,0.4829
2,6,640.6891,356.8906,1.4237
2,7,632.8156,496.5114,1.9944
2,8,513.0353,555.7357,2.7465
2,9,528.8192,288.6255,-0.0730
2,10,519.4703,337.0111,0.1297
2,11,375.3221,356.7483,-1.9902
2,12,514.2410,416.8616,-3.0018
2,13,528.8943,481.6918,2.6485
2,14,397.1514,497.1559,2.3462
2,15,336.7296,436.1783,-1.7350
2,16,315.9767,289.3234,-1.3325
2,17,450.9165,250.3031,-0.0827
3,1,376.2337,583.8779,-2.9712
3,2,255.3442,414.8908,-1.6371
3,3,269.0854,275.2599,-1.0571
3,4,404.5645,177.9538,-0.1523
3,5,581.5761,210.9044,0.5570
3,6,640.9540,356.6977,1.4668
3,7,634.6358,496.0948,2.0449
3,8,513.5193,555.7631,2.8037
3,9,528.2921,288.6628,-0.0655
3,10,518.7941,337.1389,0.1878
3,11,375.8694,356.6871,-1.9259
3,12,514.2560,416.4235,-2.9841
3,13,528.9102,481.7394,2.6666
3,14,398.1425,496.8556,2.4130
3,15,336.1920,435.4253,-1.6643
3,16,316.0543,290.6644,-1.3250
3,17,450.9103,250.1932,-0.0698
4,1,376.5864,584.6909,-2.9178
4,2,255.6488,415.1161,-1.5908
4,3,268.2133,274.6711,-1.0206
4,4,404.8789,177.3580,-0.0840
4,5,581.3687,210.6815,0.6279
4,6,641.5071,356.7148,1.5155
4,7,636.0537,495.4090,2.1154
4,8,513.5973,555.7197,2.8512
4,9,527.8541,288.5777,-0.0616
4,10,518.0056,337.3566,0.2180
4,11,376.4233,356.9643,-1.8616
4,12,514.2750,415.9173,-2.9688
4,13,528.9432,481.8150,2.6860
4,14,399.1563,496.6695,2.4767
4,15,335.6979,435.8129,-1.5885
4,16,316.2253,291.2674,-1.3333
4,17,450.8964,249.7344,-0.0112
5,1,377.0346,585.3455,-2.8489
5,2,255.9058,415.2845,-1.5473
5,3,267.3319,274.9033,-0.9652
5,4,405.2606,176.7104,-0.0140
5,5,581.1519,210.4990,0.6985
5,6,642.0509,356.8246,1.5681
5,7,636.8138,494.8116,2.1833
5,8,513.5549,555.7801,2.8936
5,9,527.5088,288.5069,-0.0611
5,10,517.3447,337.5450,0.2295
5,11,376.9915,357.1988,-1.7888
5,12,514.2814,415.5687,-2.9589
5,13,528.9741,481.8782,2.7028
5,14,400.1992,496.0586,2.5486
5,15,335.2492,436.0240,-1.5120
5,16,316.5034,291.7226,-1.3033
5,17,450.8762,249.3092,0.0520
6,1,377.4940,585.6617,-2.7778
6,2,256.1479,415.4109,-1.5201
6,3,266.7625,275.4161,-0.9102
6,4,405.6279,176.3647,0.0268
6,5,581.1068,210.1910,0.7411
6,6,642.3557,357.0344,1.5890
6,7,636.9040,494.1177,2.2362
6,8,513.5168,555.8151,2.9171
6,9,527.0899,288.3928,-0.0756
6,10,517.1121,337.7707,0.2246
6,11,377.4444,357.3654,-1.7377
6,12,514.3044,415.2426,-2.9683
6,13,528.9966,481.9180,2.6950
6,14,401.0464,495.6099,2.6061
6,15,334.8309,435.9774,-1.4518
6,16,316.7427,292.0239,-1.2803
6,17,450.8445,248.9444,0.0924
7,1,377.7037,585.6672,-2.7360
7,2,256.2128,415.5697,-1.5361
7,3,266.6338,275.7247,-0.8961
7,4,406.1736,176.4941,-0.0223
7,5,581.3200,209.5934,0.7014
7,6,642.3100,357.5334,1.5316
7,7,636.7586,493.6325,2.1981
7,8,513.2593,555.7579,2.8711
7,9,526.8157,288.3073,-0.1034
7,10,517.0331,337.8943,0.1944
7,11,377.6823,357.4577,-1.7292
7,12,514.3212,415.0624,-2.9959
7,13,529.0043,481.9338,2.6664
7,14,401.5250,495.3996,2.6145
7,15,334.5963,435.9239,-1.4362
7,16,316.8389,292.1905,-1.2885
7,17,450.8328,248.7819,0.0949
8,1,377.3951,585.1996,-2.7732
8,2,255.9889,415.9553,-1.5826
8,3,267.2325,275.6145,-0.9541
8,4,406.6216,176.7767,-0.0880
8,5,581.5951,209.0342,0.6477
8,6,642.2324,357.2406,1.4717
8,7,636.5524,493.8721,2.1374
8,8,513.2983,556.1545,2.8148
8,9,526.5421,288.2836,-0.1225
8,10,516.9907,337.9573,0.1721
8,11,377.8955,357.4963,-1.7226
8,12,514.3316,414.9378,-3.0186
8,13,529.0065,481.9700,2.6493
8,14,401.8312,495.3583,2.6069
8,15,334.3658,435.8367,-1.4284
8,16,316.8878,292.2802,-1.2949
8,17,450.8278,248.7017,0.0951
9,1,377.0955,584.5936,-2.8370
9,2,255.8075,416.2492,-1.6226
9,3,267.8038,275.4892,-1.0174
9,4,406.9692,177.0715,-0.1530
9,5,581.9482,208.4605,0.5819
9,6,641.7488,356.7637,1.4228
9,7,636.2896,494.4951,2.0694
9,8,513.4296,556.4645,2.7673
9,9,526.4190,288.4981,-0.1275
9,10,516.9681,337.9912,0.1566
9,11,378.4658,357.4483,-1.7015
9,12,514.3376,414.8604,-3.0358
9,13,529.0073,482.0000,2.6386
9,14,402.1180,495.5570,2.5719
9,15,333.6544,435.6409,-1.4605
9,16,316.9142,292.3283,-1.2994
9,17,450.7908,248.4624,0.0713
10,1,376.8592,584.0771,-2.9027
10,2,255.7181,416.2779,-1.6871
10,3,268.2959,275.4151,-1.0804
10,4,407.2617,177.3715,-0.2170
10,5,582.2448,208.0535,0.5170
10,6,641.3650,356.6252,1.3745
10,7,635.9902,494.8296,2.0034
10,8,513.6130,556.6673,2.7259
10,9,526.3926,288.9246,-0.1187
10,10,516.9562,338.0094,0.1459
10,11,379.0712,357.3827,-1.6759
10,12,514.3409,414.8189,-3.0477
10,13,529.0078,482.0162,2.6312
10,14,402.3470,495.8280,2.5252
10,15,332.8735,435.4081,-1.5091
10,16,317.1306,292.3344,-1.3243
10,17,450.7349,247.9943,0.0126
11,1,376.7453,583.6406,-2.9684
11,2,255.6429,416.2166,-1.7532
11,3,268.7385,275.4042,-1.1443
11,4,407.5233,177.6730,-0.2800
11,5,582.4099,208.3444,0.4600
11,6,640.9882,356.6709,1.3272
11,7,634.3901,495.0019,1.9644
11,8,513.4534,556.5565,2.6593
11,9,526.3928,289.2726,-0.1079
11,10,516.9501,338.0192,0.1387
11,11,379.5859,357.3275,-1.6515
11,12,514.3427,414.7968,-3.0556
11,13,529.0079,482.0249,2.6264
11,14,402.4986,496.0488,2.4825
11,15,332.2368,435.2273,-1.5600
11,16,317.2967,292.2557,-1.3728
11,17,450.8064,247.6958,-0.0478
12,1,376.4287,582.7567,-3.0104
12,2,255.7335,416.1052,-1.8149
12,3,269.1319,275.4571,-1.2088
12,4,407.7674,177.9768,-0.3421
12,5,582.5546,210.2634,0.4142
12,6,640.1760,357.0136,1.2585
12,7,633.5643,495.1189,1.9444
12,8,513.2121,556.1461,2.5919
12,9,526.4473,289.8404,-0.1177
12,10,516.9465,338.0252,0.1353
12,11,380.3044,357.2694,-1.6492
12,12,514.3244,414.6882,-3.0697
12,13,528.2312,481.8316,2.5736
12,14,402.5804,496.1696,2.4543
12,15,331.4231,435.1451,-1.6122
12,16,317.2352,292.1133,-1.4231
12,17,450.9629,247.2072,-0.1092
