t0,t1,t2,t3,t4,t5
2.900462211811278834e-01,9.214246610896099920e-02,9.790137024077094630e-02,3.081741100049484872e-01,8.405634373007684346e-01,1.118595705937179474e+01
2.920605542106775587e-01,9.458870390969360831e-02,1.005004979040495378e-01,3.103143388488446841e-01,8.405098026854589399e-01,1.162962733222969192e+01
2.961823635296599866e-01,9.648788627204658852e-02,1.025183791640495168e-01,3.146937612502635484e-01,8.410286812724553362e-01,1.223276685183474832e+01
2.968125999870278586e-01,9.776168851504729584e-02,1.038717940472376616e-01,3.153633874862170061e-01,8.416741215243445096e-01,1.280487546675216315e+01
2.958550808741882143e-01,1.006654033583127827e-01,1.069569910682073299e-01,3.143460234288248389e-01,8.420630968213249634e-01,1.332686576785618193e+01
2.957472481865467406e-01,1.041145282677630735e-01,1.106216862844982690e-01,3.142314511982057801e-01,8.420909459069012559e-01,1.384853004866986659e+01
2.957970833911549025e-01,1.064903526448317261e-01,1.131459996851336830e-01,3.142844011031019624e-01,8.420786936850473969e-01,1.435652951909830044e+01
2.962276375860329880e-01,1.085237312453186942e-01,1.153064644481510831e-01,3.147418649351599873e-01,8.418402818605239535e-01,1.482675053591571412e+01
2.986694785015641118e-01,1.103419327835229308e-01,1.172383035824930836e-01,3.173363209079116398e-01,8.415281580118438853e-01,1.521862608506344472e+01
2.999002309229604202e-01,1.120049011747110551e-01,1.190052074981304692e-01,3.186439953556453042e-01,8.411167596172081096e-01,1.556240201813983148e+01
3.008241410624452605e-01,1.139187475060147864e-01,1.210386692251407548e-01,3.196256498788478395e-01,8.403448466772885928e-01,1.585735438507795614e+01
3.015951000468938825e-01,1.156729883067822429e-01,1.229025500759562545e-01,3.204447937998242679e-01,8.395525392121954145e-01,1.610119056288338868e+01
3.017866064987427821e-01,1.174454471205675365e-01,1.247857875656030735e-01,3.206482694049141435e-01,8.389481876384409231e-01,1.630295132427685800e+01
3.019566458079775417e-01,1.187874490231223129e-01,1.262116645870674791e-01,3.208289361709759646e-01,8.384644297982793981e-01,1.645696896601642578e+01
3.020183020722907452e-01,1.196806795312039123e-01,1.271607220019041473e-01,3.208944459518087711e-01,8.381031715246853864e-01,1.656322284256116006e+01
3.021200709196970591e-01,1.202187879951130550e-01,1.277324622448076374e-01,3.210025753521781877e-01,8.378513295516203385e-01,1.662473211807474982e+01
3.022493476816357494e-01,1.205555012226503242e-01,1.280902200490658394e-01,3.211399319117379525e-01,8.376718651185628417e-01,1.665855462923564190e+01
3.024083191802041659e-01,1.207647618140034879e-01,1.283125594273786807e-01,3.213088391289667944e-01,8.375380232823919080e-01,1.667753617394328103e+01
3.025865458910402261e-01,1.208933804236433096e-01,1.284492167001210494e-01,3.214982050092299870e-01,8.374324402024265757e-01,1.668876722079117414e+01
3.027855814987355232e-01,1.209724021724305071e-01,1.285331773082074580e-01,3.217096803424063789e-01,8.373429026582153156e-01,1.669603477992539808e+01
3.030150007382024779e-01,1.210230468581851848e-01,1.285869872868215524e-01,3.219534382843403653e-01,8.372603269741253351e-01,1.670130710399726581e+01
3.037851420693562510e-01,1.208498546712268445e-01,1.284029705881785943e-01,3.227717134486908779e-01,8.370517771818611896e-01,1.670916446217376006e+01
3.060340459022020676e-01,1.200617352631988821e-01,1.275655937171487064e-01,3.251611737710897732e-01,8.364654344302178135e-01,1.672611194770250620e+01
3.087944600462443345e-01,1.190602536123466643e-01,1.265015194631181339e-01,3.280941137991348899e-01,8.357362408493863581e-01,1.674522129608536147e+01
3.116104311174200947e-01,1.180035958191661821e-01,1.253788205578641457e-01,3.310860830622586182e-01,8.350308545217509648e-01,1.675879986993007265e+01
3.135028152684883884e-01,1.173283788833945074e-01,1.246614025636067213e-01,3.330967412227687774e-01,8.344814970880762850e-01,1.675349283818183821e+01
3.149050836859456637e-01,1.172770470949947297e-01,1.246068625384319228e-01,3.345866514163172711e-01,8.336208991536045998e-01,1.676975921595936114e+01
3.150948879119453983e-01,1.176282495820831914e-01,1.249800151809633414e-01,3.347883184064417428e-01,8.325385784263552580e-01,1.680300933579799505e+01
3.153747678842471203e-01,1.199959069493840152e-01,1.274956511337203835e-01,3.350856908770127318e-01,8.306477369814878609e-01,1.681616197035829785e+01
3.164232279450463481e-01,1.247855725598710774e-01,1.325846708448631117e-01,3.361996796916116303e-01,8.276084659312246128e-01,1.683227907469647988e+01
3.163036702448982496e-01,1.309679831187520738e-01,1.391534820636741443e-01,3.360726496352042236e-01,8.240286260940150598e-01,1.685292301704098961e+01
3.183558472593357447e-01,1.377595857686198522e-01,1.463695598791585062e-01,3.382530877130442981e-01,8.205843991989228980e-01,1.691147216541784815e+01
3.207716054054438604e-01,1.469026007966595659e-01,1.560840133464506396e-01,3.408198307432843133e-01,8.176356968641629308e-01,1.697654570198515600e+01
3.254678520414280851e-01,1.556614576325882071e-01,1.653902987346249354e-01,3.458095927940174619e-01,8.151417830376119777e-01,1.708287618290831489e+01
3.312764585277339635e-01,1.611787028498880558e-01,1.712523717780060906e-01,3.519812371857173883e-01,8.135077797060544791e-01,1.720492770960138174e+01
3.387389455556840123e-01,1.641818122076035835e-01,1.744431754705789428e-01,3.599101296529140792e-01,8.115048332356701311e-01,1.729208235563628904e+01
3.443088994528128999e-01,1.641298111887011801e-01,1.743879243879951635e-01,3.658282056686131822e-01,8.087852048970651797e-01,1.730975085235481714e+01
