Step,mean_alignment
0,0.4991864820161311
1,0.500756975343938
2,0.5038830657784931
3,0.5174687403829239
4,0.5107452973283519
5,0.5137980279818679
6,0.5155476152623922
7,0.5172163432036074
8,0.5199692410701154
9,0.5216147339843898
10,0.5227556365807322
11,0.5463570800843496
12,0.5471305137492952
13,0.5476650512764986
14,0.5639631909335315
15,0.5640636078317707
16,0.5642104925347338
17,0.5644338559463323
18,0.5647260396012542
19,0.5650422500330466
20,0.5654405223914997
21,0.566135425974666
22,0.5676412784024599
23,0.5694746831707915
24,0.5716384149608666
25,0.5739687448113698
26,0.5761762408773726
27,0.5776189545481075
28,0.5805128528746853
29,0.5849643225726789
30,0.5894168664435713
31,0.595831140084044
32,0.6034592726454784
33,0.6113919302089501
34,0.6266838878905951
35,0.6313341317270569
36,0.632981815498575
37,0.6379224870293078
38,0.6407346100308113
39,0.6414663391099598
40,0.642804091752963
41,0.6531251132058055
42,0.6499836933798187
43,0.6459738873172666
44,0.6414234440861278
45,0.6385459262833082
46,0.6435377497555219
47,0.6426356882451704
48,0.6408439842853583
49,0.6382718452906819
50,0.6314481646043664
51,0.62565939443888
52,0.6190510144531496
53,0.6121857430907663
54,0.598590683352369
55,0.5927857691350109
56,0.5853943289889266
57,0.5775971437583856
58,0.5705143477345738
59,0.5653624356990701
60,0.5157982487693379
61,0.5162762582708647
62,0.5190122653765484
63,0.5035317208071141
64,0.5043844969129203
65,0.5095287152313128
66,0.5126478632996454
67,0.5003742626346177
68,0.5042009683136885
69,0.5019548096325769
70,0.5060521790189194
71,0.5094118996699126
72,0.5113088323629169
73,0.5198861936315433
74,0.521749674337824
75,0.523148988597255
76,0.5237455588525842
77,0.5241326532849772
78,0.5244894447846972
79,0.5248671814079126
80,0.5253499746172929
81,0.5258887639121025
82,0.5265291419189109
83,0.527171189456295
84,0.5278705750295094
85,0.527677520723592
86,0.5257550787246855
87,0.52409911670647
88,0.522573378383885
89,0.5213082585075324
90,0.5179902378335113
91,0.5130358642452861
92,0.5069481143794793
93,0.5223082573901997
94,0.5587196102371165
95,0.5584359315195846
96,0.5599889810602248
97,0.5724736448890768
98,0.570338291478202
99,0.5687915439477583
100,0.5631861125130985
101,0.5590306825457652
102,0.5832964731322587
103,0.5804142405071083
104,0.5795240205874557
105,0.6094801487668232
106,0.6142553630455863
107,0.6093079202553927
108,0.6104312930714456
109,0.6124918699954248
110,0.6159009470392035
111,0.6204111496382265
112,0.6380426350902854
113,0.6466171773913785
114,0.6503475447038675
115,0.6524960424369812
116,0.6503852361094744
117,0.6475150398821382
118,0.644886193915939
119,0.5970330721211573
120,0.5941619027713722
121,0.5913121612080717
122,0.5911019699741825
123,0.5913032838609813
124,0.5927649376645446
125,0.5945233113040296
126,0.591257734308898
127,0.595884925144591
128,0.6000740134553203
129,0.6023959104306785
130,0.6034516154685133
131,0.6040889411325923
132,0.6045115400805731
133,0.6049291340919634
134,0.6052595913127048
135,0.5894200311185388
136,0.5896666465736852
137,0.5897267887945079
138,0.5897497227277742
139,0.5896850683704243
140,0.6059110215849497
141,0.6060865037905172
142,0.606204854150038
143,0.6062517433479894
144,0.6062601908795006
145,0.6062239351388409
146,0.6067442418065871
147,0.6073230184750636
148,0.6079225521351459
149,0.6053385416325991
150,0.6023702335618398
151,0.6021945134595711
152,0.601481896920359
153,0.5988521257704903
154,0.6036602816012847
155,0.6054415349642652
156,0.6083772609961149
157,0.6130115235428425
158,0.6132233206428267
159,0.6124006942832704
160,0.611705524549412
161,0.6128276651166482
162,0.6143372538260213
163,0.6262887985367309
164,0.6290741523784
165,0.631056651071396
166,0.6326825185034765
167,0.6338660959430186
168,0.6733597757377549
169,0.6766976559275207
170,0.6803982475567378
171,0.6829701453248983
172,0.6832895783869781
173,0.681447394210799
174,0.671019686182213
175,0.6686146478948398
176,0.6629521764064331
177,0.6586930481141792
178,0.6550621135347601
179,0.651910886287788
180,0.6076758508715955
181,0.6064340272313938
182,0.6055100251422235
183,0.6039763570872201
184,0.6022854391357482
185,0.6003241404169064
186,0.5585635388274469
187,0.5645864399742874
188,0.5616879658304332
189,0.5498129515650796
190,0.5465034952925061
191,0.543756521050321
192,0.5415995728123879
193,0.5394978499564907
194,0.5373731659245964
195,0.5456514559406391
196,0.5450477451261815
197,0.5449245745513468
198,0.5450625522589969
199,0.5454407791579302
200,0.5459281150808312
201,0.5464996004697152
