time,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17
1.000000,2.016795,2.002439,2.021831,2.063347,2.011189,2.021098,1.999226,1.963864,0.089522,1.997266,0.358761,0.895344,0.038931,0.039450,1.484076,0.038149,0.840496
1.016667,2.016886,2.002369,2.021936,2.063007,2.011327,2.021100,1.999125,1.963022,0.086877,1.996600,0.363077,0.883389,0.038943,0.039497,1.468770,0.038239,0.831411
1.033333,2.017027,2.002250,2.022000,2.061735,2.011458,2.021044,1.999016,1.961868,0.084610,1.994087,0.367943,0.865042,0.039062,0.039528,1.447055,0.038530,0.812117
1.050000,2.017160,2.002129,2.021911,2.060758,2.011556,2.020823,1.998941,1.960940,0.083272,1.992265,0.371454,0.840411,0.039322,0.039536,1.433868,0.038888,0.786704
1.066667,2.017242,2.001977,2.021799,2.059967,2.011655,2.020566,1.998882,1.960041,0.082341,1.990913,0.374311,0.817152,0.039604,0.039570,1.424540,0.039193,0.768714
1.083333,2.017276,2.001841,2.021680,2.059237,2.011757,2.020278,1.998834,1.959129,0.081696,1.989691,0.376595,0.796032,0.039904,0.039620,1.414188,0.039518,0.754519
1.100000,2.017310,2.001821,2.021582,2.058553,2.011854,2.020112,1.998790,1.958240,0.081352,1.988535,0.378447,0.785184,0.040059,0.039687,1.402354,0.039961,0.738511
1.116667,2.017358,2.001858,2.021525,2.057975,2.011949,2.019966,1.998754,1.957361,0.081057,1.987047,0.379867,0.777185,0.040182,0.039810,1.387963,0.040431,0.726380
1.133333,2.017393,2.001912,2.021533,2.057788,2.012043,2.019829,1.998724,1.956548,0.080591,1.985762,0.380914,0.770934,0.040291,0.039943,1.376464,0.040784,0.721224
1.150000,2.017436,2.001983,2.021559,2.057779,2.012137,2.019704,1.998701,1.955782,0.080142,1.984808,0.381700,0.766177,0.040384,0.040050,1.368266,0.041081,0.718579
1.166667,2.017475,2.002067,2.021587,2.057865,2.012231,2.019595,1.998685,1.955093,0.079765,1.984085,0.382348,0.762803,0.040455,0.040154,1.361700,0.041312,0.716888
1.183333,2.017516,2.002152,2.021614,2.057997,2.012318,2.019496,1.998674,1.954490,0.079449,1.983558,0.382831,0.760207,0.040521,0.040233,1.357010,0.041467,0.715955
1.200000,2.017554,2.002230,2.021640,2.058095,2.012404,2.019383,1.998668,1.954005,0.079183,1.983188,0.383196,0.757168,0.040603,0.040286,1.353496,0.041564,0.715570
1.216667,2.017586,2.002294,2.021661,2.058211,2.012475,2.019285,1.998662,1.953642,0.078979,1.982946,0.383461,0.754469,0.040678,0.040320,1.350920,0.041620,0.715527
1.233333,2.017610,2.002340,2.021679,2.058298,2.012526,2.019213,1.998659,1.953399,0.078832,1.982801,0.383636,0.752503,0.040733,0.040337,1.349201,0.041649,0.715698
1.250000,2.017626,2.002367,2.021690,2.058357,2.012555,2.019172,1.998656,1.953268,0.078747,1.982728,0.383732,0.751367,0.040765,0.040342,1.348223,0.041663,0.715901
1.266667,2.017634,2.002381,2.021697,2.058390,2.012571,2.019149,1.998654,1.953199,0.078704,1.982690,0.383782,0.750749,0.040783,0.040340,1.347703,0.041670,0.716022
1.283333,2.017639,2.002389,2.021701,2.058408,2.012579,2.019136,1.998653,1.953164,0.078686,1.982670,0.383807,0.750419,0.040792,0.040332,1.347464,0.041672,0.716098
1.300000,2.017644,2.002394,2.021704,2.058418,2.012584,2.019130,1.998652,1.953147,0.078682,1.982659,0.383819,0.750257,0.040798,0.040320,1.347538,0.041672,0.716148
1.316667,2.017649,2.002397,2.021706,2.058423,2.012586,2.019127,1.998652,1.953140,0.078686,1.982654,0.383824,0.750180,0.040800,0.040304,1.347812,0.041672,0.716186
1.333333,2.017653,2.002398,2.021707,2.058426,2.012587,2.019125,1.998652,1.953138,0.078695,1.982651,0.383825,0.750144,0.040802,0.040285,1.348135,0.041670,0.716216
1.350000,2.017656,2.002400,2.021708,2.058544,2.012599,2.019127,1.998651,1.953140,0.078698,1.982937,0.384017,0.750141,0.040805,0.040265,1.348365,0.041666,0.716244
1.366667,2.017657,2.002401,2.021709,2.058955,2.012640,2.019135,1.998650,1.953143,0.078682,1.983944,0.384726,0.750184,0.040811,0.040242,1.348492,0.041659,0.716271
