Step,Agent_ID,X,Y,Theta
0,1,245.6316,411.0379,-2.2373
0,2,273.5003,268.7194,-1.5471
0,3,374.9482,199.0350,-1.0879
0,4,522.4486,184.4023,-0.1897
0,5,650.4611,327.9655,0.6695
0,6,626.3848,462.2353,1.3085
0,7,530.1776,572.6528,2.2046
0,8,395.6166,552.6281,2.8479
0,9,459.5792,280.2590,-0.9522
0,10,527.5102,225.1632,-0.1897
0,11,563.4441,332.4073,1.5601
0,12,577.4567,429.2478,1.6983
0,13,497.0164,446.9216,1.2762
0,14,414.0331,431.6846,1.9586
0,15,312.6492,441.0114,-1.9979
0,16,389.0904,354.4288,2.8261
0,17,387.5064,259.9498,-0.9605
1,1,245.4588,411.3609,-2.2624
1,2,274.1943,268.3279,-1.5669
1,3,374.7007,199.0075,-1.1094
1,4,522.3875,184.6963,-0.2053
1,5,650.3840,328.5237,0.6557
1,6,626.6262,461.6996,1.2847
1,7,529.3788,572.5730,2.1848
1,8,395.6554,552.3678,2.8080
1,9,459.4805,281.0121,-0.9811
1,10,528.0336,225.4404,-0.2026
1,11,563.8571,332.9859,1.5280
1,12,576.9116,429.9279,1.6723
1,13,496.5156,446.4207,1.2535
1,14,414.2007,432.2845,1.9266
1,15,312.8263,440.4146,-1.9966
1,16,389.4569,353.7769,2.8128
1,17,388.5635,259.6443,-0.9818
2,1,245.3325,411.8976,-2.3054
2,2,275.0626,267.8157,-1.5917
2,3,374.2342,199.1103,-1.1487
2,4,521.8909,185.0563,-0.2392
2,5,650.2892,329.3066,0.6363
2,6,626.9459,460.8661,1.2479
2,7,528.4384,572.5005,2.1616
2,8,395.7158,552.0297,2.7566
2,9,459.3568,281.8673,-1.0116
2,10,528.7802,225.9805,-0.2257
2,11,564.2698,333.5227,1.4781
2,12,576.0914,430.9044,1.6372
2,13,495.9991,445.8889,1.2389
2,14,414.2798,432.8703,1.8838
2,15,313.1008,439.6392,-1.9849
2,16,390.0840,352.7962,2.8004
2,17,390.2614,259.2934,-1.0104
3,1,245.2728,412.3338,-2.3390
3,2,275.7271,267.3637,-1.6173
3,3,373.7320,199.3428,-1.1972
3,4,521.5253,185.2839,-0.2631
3,5,650.2029,330.1672,0.6150
3,6,627.2590,459.8964,1.2012
3,7,527.7101,572.4602,2.1436
3,8,395.7665,551.7698,2.7157
3,9,459.2420,282.5616,-1.0315
3,10,529.2817,226.3449,-0.2412
3,11,564.5631,333.8999,1.4347
3,12,575.1016,431.8978,1.6117
3,13,495.6360,445.4967,1.2351
3,14,414.2488,433.1733,1.8506
3,15,313.2468,439.1307,-1.9725
3,16,390.6307,351.9957,2.7935
3,17,392.0640,259.0738,-1.0281
4,1,245.3007,412.4434,-2.3609
4,2,276.1664,267.0803,-1.6301
4,3,373.5620,199.4880,-1.2342
4,4,521.1844,185.4647,-0.2833
4,5,650.1299,331.1045,0.5918
4,6,627.4765,458.8653,1.1432
4,7,527.0567,572.4356,2.1275
4,8,395.8219,551.5286,2.6775
4,9,459.1299,283.1411,-1.0466
