time,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17
1.000000,2.020713,2.002946,2.019029,2.046115,2.008091,2.025979,2.000107,1.972054,0.154279,1.991005,0.346664,1.250444,0.038397,0.035788,1.750368,0.035017,0.939569
1.016667,2.021264,2.002935,2.018733,2.046110,2.007983,2.025775,2.000157,1.972040,0.148752,1.991638,0.348822,1.244231,0.038600,0.035396,1.762950,0.034894,0.944405
1.033333,2.022204,2.002834,2.018352,2.047043,2.007816,2.025277,2.000242,1.972799,0.142795,1.993609,0.353142,1.236838,0.039008,0.034801,1.783469,0.034976,0.935224
1.050000,2.023065,2.002681,2.017626,2.046595,2.007758,2.023647,2.000339,1.973560,0.138126,1.991394,0.356232,1.217576,0.039265,0.034262,1.801194,0.035166,0.922407
1.066667,2.023713,2.002578,2.016764,2.045461,2.007820,2.022227,2.000419,1.973946,0.134697,1.986486,0.358215,1.199765,0.039436,0.033766,1.817156,0.035429,0.907445
1.083333,2.024206,2.002515,2.016083,2.044337,2.007935,2.021117,2.000484,1.974104,0.132108,1.978863,0.356997,1.185372,0.039584,0.033313,1.830988,0.035711,0.893176
1.100000,2.024549,2.002485,2.015569,2.042812,2.008033,2.020256,2.000541,1.974254,0.129773,1.968607,0.354910,1.166851,0.039759,0.032957,1.841316,0.035971,0.882162
1.116667,2.024711,2.002479,2.015206,2.040755,2.008080,2.019875,2.000549,1.973946,0.127057,1.958970,0.354237,1.150134,0.039813,0.032847,1.846478,0.036050,0.887010
1.133333,2.024961,2.002483,2.015444,2.039967,2.008359,2.019440,2.000518,1.973430,0.123684,1.958305,0.358321,1.141495,0.039555,0.032920,1.849198,0.036091,0.889757
1.150000,2.024965,2.002371,2.015983,2.040033,2.008699,2.019077,2.000487,1.972883,0.118231,1.963185,0.363374,1.137119,0.039213,0.033108,1.842127,0.036175,0.883498
1.166667,2.024817,2.002309,2.016457,2.040727,2.008999,2.018756,2.000459,1.972298,0.112980,1.970941,0.367319,1.135026,0.038922,0.033253,1.833810,0.036224,0.881547
1.183333,2.024658,2.002407,2.017133,2.041632,2.009282,2.018462,2.000440,1.971662,0.107156,1.979200,0.372605,1.134170,0.038693,0.033293,1.826499,0.036214,0.897370
1.200000,2.024820,2.002520,2.017585,2.042591,2.009331,2.018279,2.000410,1.970767,0.102118,1.986748,0.382483,1.109231,0.038983,0.033202,1.823245,0.036229,0.906398
1.216667,2.024812,2.002650,2.017600,2.043253,2.009718,2.018098,2.000317,1.969711,0.098546,1.991378,0.389649,1.083942,0.039535,0.033350,1.804692,0.036291,0.905998
1.233333,2.024772,2.002762,2.017429,2.043440,2.009968,2.017967,2.000261,1.969159,0.096854,1.993625,0.394919,1.070036,0.039814,0.033485,1.792088,0.036343,0.904793
1.250000,2.025037,2.002863,2.017182,2.043723,2.010015,2.017891,2.000262,1.969024,0.095964,1.995631,0.397262,1.063159,0.039957,0.033559,1.785554,0.036477,0.898869
1.266667,2.025326,2.002820,2.016651,2.044891,2.009875,2.017819,2.000272,1.970048,0.094400,1.999596,0.398207,1.059858,0.040050,0.033553,1.782159,0.036790,0.881899
1.283333,2.025509,2.002593,2.016014,2.046170,2.009755,2.016920,2.000298,1.970998,0.091212,2.004251,0.398751,1.046555,0.040066,0.033516,1.780321,0.037141,0.866144
1.300000,2.025921,2.002278,2.015560,2.046727,2.009679,2.015701,2.000355,1.971658,0.088590,2.007803,0.399128,1.027844,0.040131,0.033064,1.794834,0.037584,0.851040
1.316667,2.026252,2.002085,2.014936,2.047270,2.009540,2.015125,2.000400,1.972204,0.088422,2.010233,0.395091,1.018771,0.040156,0.032665,1.810293,0.037862,0.837264
1.333333,2.026576,2.001991,2.014451,2.047983,2.009394,2.014815,2.000450,1.972592,0.087949,2.010977,0.380692,1.015993,0.040137,0.032266,1.823547,0.038175,0.826676
