Step,Agent_ID,X,Y,Theta
0,1,251.1920,410.7587,-1.7670
0,2,262.7411,272.4340,-1.2538
0,3,378.9038,206.7040,-0.5426
0,4,515.0695,176.6746,0.1206
0,5,656.7392,324.0635,1.1073
0,6,618.6285,461.9537,1.8546
0,7,533.1503,575.8480,2.5638
0,8,398.7702,556.3682,-3.0326
0,9,459.2950,270.4221,-0.5213
0,10,528.6708,224.4050,-0.1325
0,11,558.4230,322.5340,1.8308
0,12,586.6033,425.5974,1.8549
0,13,498.9032,449.8412,1.7086
0,14,416.2893,431.0749,2.3982
0,15,305.3215,445.9507,-1.6737
0,16,385.1377,356.8791,-3.0879
0,17,377.7839,263.0639,-0.5343
1,1,251.6127,411.1404,-1.7410
1,2,262.5568,272.2629,-1.2416
1,3,379.1424,206.9206,-0.5022
1,4,515.1182,176.2233,0.1312
1,5,657.2299,324.2710,1.1358
1,6,618.4813,461.6683,1.8858
1,7,533.1634,576.1871,2.5856
1,8,399.0765,556.4389,-3.0160
1,9,459.4556,271.0064,-0.4906
1,10,528.1256,224.0238,-0.1182
1,11,558.5062,322.4937,1.8472
1,12,586.4829,425.5114,1.8705
1,13,498.7758,450.0636,1.7211
1,14,416.4254,431.4183,2.4119
1,15,304.7993,446.0971,-1.6492
1,16,385.2325,356.3067,-3.0646
1,17,377.7481,262.9751,-0.5109
2,1,251.9673,411.8894,-1.6963
2,2,261.7256,272.3860,-1.2134
2,3,379.2185,206.5541,-0.4433
2,4,515.5115,175.7575,0.1586
2,5,657.9747,324.9014,1.2023
2,6,618.3111,461.4546,1.9371
2,7,533.6097,576.4782,2.6288
2,8,399.3152,556.7812,-2.9578
2,9,459.5829,271.6619,-0.4190
2,10,526.9702,223.2823,-0.0738
2,11,558.5727,322.2306,1.8932
2,12,586.4194,425.2004,1.8854
2,13,498.6365,450.6699,1.7434
2,14,416.5576,431.7283,2.4426
2,15,303.9335,446.4263,-1.5922
2,16,385.3648,355.5095,-3.0239
2,17,377.6656,263.2422,-0.4506
3,1,252.2123,412.6114,-1.6572
3,2,260.7223,272.8683,-1.1524
3,3,379.7372,206.2724,-0.3905
3,4,516.1210,174.9725,0.1989
3,5,658.4516,325.3340,1.2554
3,6,618.1486,461.7371,1.9871
3,7,534.2302,576.9157,2.6790
3,8,399.4122,557.0929,-2.8947
3,9,459.6671,272.2274,-0.3428
3,10,525.7202,223.0276,-0.0370
3,11,558.6181,322.0637,1.9317
3,12,586.3192,424.2710,1.8907
3,13,498.5426,451.1061,1.7609
3,14,416.6862,431.9907,2.4759
3,15,303.1746,446.8117,-1.5357
3,16,385.4505,354.7390,-2.9835
3,17,377.6051,263.5892,-0.3853
4,1,252.4229,413.0392,-1.6204
4,2,260.0329,273.3441,-1.0779
4,3,380.2852,206.2341,-0.3424
4,4,516.7307,174.1489,0.2475
4,5,658.4375,325.5479,1.3241
4,6,618.0204,462.0199,2.0338
4,7,535.0696,577.2593,2.7390
4,8,399.2520,557.1945,-2.8416
4,9,459.7218,272.6937,-0.2701
4,10,524.3994,223.0835,-0.0089
4,11,558.6454,321.9706,1.9595
4,12,586.2143,423.4357,1.8934
4,13,498.4886,451.3596,1.7735
4,14,416.8251,432.2274,2.5121
4,15,302.4715,447.2459,-1.4754
4,16,385.4790,353.9755,-2.9423
4,17,377.5738,263.9829,-0.3152
5,1,252.6589,413.3228,-1.5801
5,2,259.5782,273.6854,-1.0053
5,3,380.6133,206.2229,-0.2960
5,4,517.2900,173.5177,0.3033
