t0,t1,t2,t3,t4,t5
3.162381216208822732e-01,8.598811749490707645e-02,9.136237483833879736e-02,3.360030042221875957e-01,8.498790771945572420e-01,1.065725631968757448e+01
3.161627116082149080e-01,8.739120881727986678e-02,9.285315936835977779e-02,3.359228810837286971e-01,8.490556004159626191e-01,1.093524246269626765e+01
3.107320736935285099e-01,9.120736592349515393e-02,9.690782629371368084e-02,3.301528282993739793e-01,8.465632953863094778e-01,1.118095019398128365e+01
3.016595100911670380e-01,9.667671433600538711e-02,1.027190089820056856e-01,3.205132294718650021e-01,8.441911337050987951e-01,1.142035239012395031e+01
2.932827750765503727e-01,1.030777945019066277e-01,1.095201566582758856e-01,3.116129485188347537e-01,8.417187602365097110e-01,1.164341946689830998e+01
2.830506493953211522e-01,1.095924617554071279e-01,1.164419906151200890e-01,3.007413149825288179e-01,8.388914389207302591e-01,1.184308980827345614e+01
2.715292490204849196e-01,1.176541456054245177e-01,1.250075297057635926e-01,2.884998270842650814e-01,8.355390221787869498e-01,1.202808907191572274e+01
2.669691827408814944e-01,1.216508829417605880e-01,1.292540631256206829e-01,2.836547566621862027e-01,8.343505993230654338e-01,1.222175982516066206e+01
2.649964022540787223e-01,1.218473200715955718e-01,1.294627775760702204e-01,2.815586773949584898e-01,8.364280390558551659e-01,1.232143068566415245e+01
2.693093768748022199e-01,1.146139966302772012e-01,1.217773714196695861e-01,2.861412129294771400e-01,8.412596718024837328e-01,1.234871044683640839e+01
2.760254440498641770e-01,1.061537806586276972e-01,1.127883919497918996e-01,2.932770343029806881e-01,8.468221922594922901e-01,1.241942469287817197e+01
2.846268635398138680e-01,9.913054925034739395e-02,1.053262085784940211e-01,3.024160425110523076e-01,8.514500512517551023e-01,1.255806087460690534e+01
2.927811192543341434e-01,9.440388901842114433e-02,1.003041320820724641e-01,3.110799392077299719e-01,8.525207119131129607e-01,1.283221724783396844e+01
3.053356805634139248e-01,8.990575244087206652e-02,9.552486196842663313e-02,3.244191605986274651e-01,8.536444365883576468e-01,1.295557419139335664e+01
