t0,t1,t2,t3,t4,t5
1.624949694397723743e-01,8.817185716701586573e-02,9.368259823995435387e-02,1.726509050297583281e-01,8.781336655794708124e-01,1.203555360352813253e+01
1.619421911508768519e-01,8.754026173877478556e-02,9.301152809744829553e-02,1.720635780978066187e-01,8.788094615230530593e-01,1.242797988947819121e+01
1.606962017431252665e-01,8.855993867022553256e-02,9.409493483711474371e-02,1.707397143520705818e-01,8.790376047290934247e-01,1.300323497936475192e+01
1.569911327567963255e-01,9.051782528240295833e-02,9.617518936255330109e-02,1.668030785540961236e-01,8.792833272313288484e-01,1.348816367786647064e+01
1.533009262875134060e-01,9.342644949769861318e-02,9.926560259130469410e-02,1.628822341804826712e-01,8.788138286456680381e-01,1.389389015156314500e+01
1.514067413904414683e-01,9.542638524936229716e-02,1.013905343274475734e-01,1.608696627273441537e-01,8.783706218385249898e-01,1.427756062522442271e+01
1.495199589181666899e-01,9.702284549108546041e-02,1.030867733342783199e-01,1.588649563505520890e-01,8.782017412308902315e-01,1.463648341460573654e+01
1.475154764279688335e-01,9.819651745633016515e-02,1.043337997973508291e-01,1.567351937047166133e-01,8.781758469451867999e-01,1.497585651545866625e+01
1.455855606711163042e-01,9.905130694051754447e-02,1.052420136243000237e-01,1.546846582130612102e-01,8.784154956558830607e-01,1.531154188152338769e+01
1.441084958492572510e-01,9.911895607664138186e-02,1.053138908314313477e-01,1.531152768398353348e-01,8.795713461723878579e-01,1.565797360208139821e+01
1.417958443467514928e-01,9.879392150945093265e-02,1.049685416037916680e-01,1.506580846184234213e-01,8.804833374177946093e-01,1.598184420716670218e+01
1.406549268018907062e-01,9.807006904997610242e-02,1.041994483655998421e-01,1.494458597270091060e-01,8.814426306884020068e-01,1.620780702046647548e+01
1.393275887056282802e-01,9.778701527178784714e-02,1.038987037262744523e-01,1.480355629997296973e-01,8.819059330329829249e-01,1.636947410690688898e+01
1.387955530703519347e-01,9.771799024930380440e-02,1.038253646398851343e-01,1.474702751372486131e-01,8.822548779711325562e-01,1.648299475588927621e+01
1.382835852166476587e-01,9.788909787881293345e-02,1.040071664962386871e-01,1.469263092926881564e-01,8.823490361340611265e-01,1.655488811959362749e+01
1.378982955654150522e-01,9.801867193204288897e-02,1.041448389277956493e-01,1.465169390382537462e-01,8.823533644794199216e-01,1.659835508213924982e+01
1.375684002682066864e-01,9.806408172815204993e-02,1.041930868361614637e-01,1.461664252849694257e-01,8.823390985839120182e-01,1.662534601480054874e+01
1.374192119763960052e-01,9.818619435850343968e-02,1.043228315059099853e-01,1.460079127249207520e-01,8.822717680221617842e-01,1.663916633425841596e+01
1.374320167701625905e-01,9.841634751029451622e-02,1.045673692296880813e-01,1.460215178182980023e-01,8.821620284318621996e-01,1.664419226633075866e+01
1.375169628393221877e-01,9.879757109102066392e-02,1.049724192842094728e-01,1.461117730167798556e-01,8.819084416330644771e-01,1.664312358059029506e+01
1.376568089459312139e-01,9.935120352564033586e-02,1.055606537459927718e-01,1.462603595050517014e-01,8.815179436825522075e-01,1.663712505404255282e+01
1.370398718122974313e-01,9.928195125823281730e-02,1.054870732118724230e-01,1.456048638005660034e-01,8.812123671806932901e-01,1.662821766718416683e+01
