time,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17
1.500000,2.012259,2.005225,2.046820,2.015922,2.010254,1.973595,2.005165,1.974044,0.287021,0.078415,0.029069,0.056353,0.159846,0.379010,0.573262,1.894183,0.853093
1.516667,2.012552,2.005228,2.046599,2.016024,2.010293,1.972532,2.004823,1.974102,0.287030,0.079093,0.029217,0.056240,0.159017,0.397268,0.573794,1.891358,0.866392
1.533333,2.012843,2.005184,2.046278,2.016123,2.010320,1.972127,2.004505,1.974331,0.286892,0.079157,0.029386,0.056320,0.158231,0.416011,0.574339,1.888155,0.879843
1.550000,2.013105,2.005087,2.045852,2.016206,2.010420,1.972388,2.004295,1.974348,0.290770,0.078303,0.029566,0.056643,0.157598,0.434918,0.574870,1.884563,0.892532
1.566667,2.013431,2.004932,2.045328,2.016274,2.010566,1.973148,2.004182,1.973271,0.297591,0.076811,0.029793,0.057137,0.157625,0.458468,0.575092,1.880659,0.904443
1.583333,2.013751,2.004822,2.044713,2.016169,2.010713,1.974120,2.004082,1.971633,0.304088,0.075428,0.030157,0.057706,0.158048,0.484359,0.574762,1.875866,0.915346
1.600000,2.013803,2.004797,2.043909,2.016108,2.010832,1.974020,2.003785,1.969394,0.309379,0.074529,0.031025,0.058460,0.158602,0.498625,0.575927,1.871598,0.928003
1.616667,2.013790,2.005207,2.043243,2.016064,2.010902,1.973271,2.003509,1.967590,0.312946,0.073654,0.032149,0.059484,0.159189,0.508237,0.579000,1.868890,0.942467
1.633333,2.013256,2.005965,2.043151,2.016057,2.010746,1.972559,2.003233,1.966176,0.311352,0.072369,0.032869,0.060690,0.159520,0.488937,0.583505,1.869255,0.954868
1.650000,2.012848,2.006687,2.043988,2.015980,2.010578,1.972529,2.002852,1.964558,0.308679,0.071315,0.033111,0.061884,0.159469,0.474731,0.587167,1.873632,0.963331
1.666667,2.012838,2.007225,2.044111,2.015878,2.010291,1.973622,2.002501,1.963506,0.302270,0.070445,0.033243,0.063225,0.159267,0.471621,0.590055,1.873378,0.969298
1.683333,2.012769,2.007682,2.042437,2.015725,2.009759,1.976010,2.002191,1.962586,0.285485,0.070301,0.033416,0.064734,0.159170,0.462530,0.594671,1.864166,0.976187
1.700000,2.012565,2.008036,2.040256,2.015548,2.009264,1.978227,2.001959,1.961043,0.268538,0.070813,0.033635,0.066234,0.159117,0.447667,0.599820,1.849856,0.981604
1.716667,2.012287,2.008319,2.037986,2.015341,2.008794,1.980314,2.001823,1.957528,0.251338,0.071498,0.033863,0.067274,0.160135,0.432625,0.604812,1.832681,0.987685
1.733333,2.011964,2.008524,2.035814,2.015051,2.008318,1.982574,2.001760,1.953781,0.234722,0.071636,0.033740,0.067639,0.163037,0.417300,0.609382,1.814345,0.988627
1.750000,2.011616,2.008740,2.034162,2.014691,2.007904,1.983689,2.001719,1.952365,0.221391,0.071717,0.033710,0.067853,0.165994,0.401124,0.614677,1.794327,0.987509
1.766667,2.011253,2.008854,2.032751,2.014429,2.007551,1.984182,2.001695,1.952307,0.210385,0.071977,0.033448,0.068144,0.168867,0.384601,0.648332,1.776984,0.986930
1.783333,2.010816,2.008926,2.031602,2.014206,2.007285,1.984415,2.001674,1.952720,0.202780,0.072350,0.033112,0.068488,0.171514,0.365288,0.690267,1.759559,0.986108
1.800000,2.010426,2.008972,2.030645,2.014020,2.007098,1.985820,2.001651,1.953297,0.197666,0.073020,0.033228,0.068725,0.172916,0.352876,0.726250,1.740165,0.984911
1.816667,2.010051,2.008953,2.030202,2.013909,2.006923,1.987905,2.001634,1.952791,0.193292,0.074337,0.033495,0.069312,0.173152,0.350522,0.744965,1.733725,0.983049
1.833333,2.009588,2.008931,2.029941,2.014045,2.006714,1.988607,2.001614,1.952456,0.187811,0.075511,0.033757,0.069948,0.172649,0.336177,0.760947,1.725134,0.984278
1.850000,2.009019,2.008829,2.029707,2.014219,2.006528,1.988261,2.001590,1.952500,0.183218,0.076588,0.033991,0.070637,0.170644,0.312921,0.785612,1.711403,0.983662
1.866667,2.008457,2.008767,2.029902,2.014339,2.006358,1.987411,2.001567,1.952540,0.179137,0.077509,0.034213,0.071225,0.168559,0.289240,0.808555,1.695332,0.981189
1.883333,2.007946,2.008777,2.029915,2.014405,2.006194,1.986888,2.001539,1.952479,0.175469,0.078385,0.034444,0.071828,0.166355,0.268344,0.839365,1.674798,0.975224
1.900000,2.007482,2.008832,2.030440,2.014432,2.006040,1.986479,2.001505,1.952380,0.172151,0.079105,0.034558,0.072329,0.164175,0.250198,0.860942,1.659845,0.967587
